iter	Logloss
0	0.6926850473
1	0.6923017047
2	0.691486396
3	0.6910594263
4	0.6905169579
5	0.6899490756
6	0.6892197489
7	0.6886843106
8	0.6879289292
9	0.6874048459
10	0.6868094662
11	0.6859452551
12	0.685290465
13	0.6846418172
14	0.6838594633
15	0.6834182502
16	0.6828673625
17	0.6822436481
18	0.6813718008
19	0.6807489315
20	0.6802904525
21	0.6793741965
22	0.6789840328
23	0.6785138401
24	0.6778414566
25	0.6775036697
26	0.6765164282
27	0.6760812386
28	0.6754116203
29	0.6746303721
30	0.6740867796
31	0.6733823413
32	0.6725978909
33	0.6721034872
34	0.6712611836
35	0.6706559613
36	0.6699777289
37	0.6692806703
38	0.6686124617
39	0.6680256568
40	0.6674014399
41	0.6668641403
42	0.6663101915
43	0.6656464991
44	0.6652043814
45	0.6646673642
46	0.6639198786
47	0.6633674655
48	0.6626258194
49	0.6620069375
50	0.6617023241
51	0.6608887495
52	0.6605438272
53	0.6600179488
54	0.6592742716
55	0.6589628077
56	0.6583298892
57	0.6575739169
58	0.657105642
59	0.6566058252
60	0.6562739896
