iter	Passed	Remaining
0	158	78935
1	165	41101
2	172	28504
3	178	22190
4	185	18395
5	192	15872
6	199	14061
7	206	12689
8	213	11641
9	220	10796
10	227	10111
11	234	9531
12	241	9046
13	248	8625
14	255	8250
15	261	7924
16	268	7636
17	275	7383
18	282	7156
19	289	6946
20	296	6751
21	302	6580
22	309	6425
23	316	6282
24	323	6151
25	330	6025
26	337	5906
27	344	5799
28	350	5696
29	357	5602
30	364	5511
31	372	5454
32	379	5372
33	386	5299
34	393	5228
35	400	5158
36	407	5094
37	414	5033
38	420	4974
39	427	4916
40	434	4864
41	441	4812
42	448	4763
43	454	4714
44	461	4665
45	467	4618
46	474	4575
47	481	4534
48	488	4496
49	495	4458
50	502	4420
51	509	4387
52	516	4353
53	522	4319
54	529	4286
55	536	4253
56	543	4223
57	550	4193
58	556	4163
59	563	4135
60	570	4106
